,username,orario,text
27,SenWarren,2023-09-15 23:46:58+00:00,"RT @Tonight into tomorrow, coastal MA can expect to see wind, rain, &amp; flooding as Hurricane Lee brushes Southern New England. 

I’m declaring a state of emergency and calling on @fema to issue a Pre-Disaster Emergency Declaration to free up resources to support our response efforts."
28,MassGovernor,2023-09-15 18:49:28+00:00,"Tonight into tomorrow, coastal MA can expect to see wind, rain, &amp; flooding as Hurricane Lee brushes Southern New England. 

I’m declaring a state of emergency and calling on @fema to issue a Pre-Disaster Emergency Declaration to free up resources to support our response efforts."
29,SenWarren,2023-09-15 17:20:21+00:00,".@Ford, @GM and @Stellantis have raked in record profits for years. I stand in solidarity with @UAW workers striking for wages and benefits that reflect the work they do."
30,SenWarren,2023-09-15 02:13:57+00:00,"Big Pharma exploits our patent system to reduce competition &amp; keep drug prices high to pad their profits.

@RepJayapal and I called on @FTC to rein in Big Pharma's abuse of the patent system, and I applaud FTC’s condemnation of sham patent listings today. https://t.co/mTDFbBZmXn"
31,SenWarren,2023-09-15 00:22:18+00:00,RT @She built an agency to protect consumers from Big Banking. Now she wants to create a new one to protect us from Big Tech. https://t.co/yfT7a2K7dJ
32,voxdotcom,2023-09-14 12:37:01+00:00,She built an agency to protect consumers from Big Banking. Now she wants to create a new one to protect us from Big Tech. https://t.co/yfT7a2K7dJ
33,SenWarren,2023-09-14 22:05:30+00:00,"President Biden is right: trickle-down economics has failed the middle class. While MAGA Republicans in Congress want to keep slashing taxes for billionaire corporations, the Biden administration is taking action to lower costs, empower workers and grow the economy."
34,SenWarren,2023-09-14 18:42:04+00:00,"Admiral Franchetti told me that it will take the U.S. Navy YEARS to recover from the obstruction by a Republican Senator blocking over 300 high level military promotions.

It’s hard to imagine a bigger propaganda win for our enemies. We need this hold to stop NOW."
35,connorobrienNH,2023-09-14 18:09:08+00:00,"Adm. Lisa Franchetti, Biden's pick to be the top Navy officer, estimates during her confirmation hearing that ""it will take years to recover"" from Tuberville's promotions blockade. She predicts 3-4 months ""to move all the people around"" at the three-star level."
36,SenWarren,2023-09-13 22:23:57+00:00,I led a bipartisan call for @DeptofDefense &amp; @StateDept to monitor and track U.S.-origin weapons after examples of misuse in Yemen &amp; other countries. I'm glad the Biden administration is taking this important action to protect civilians around the world. https://t.co/jKJyjjMpOn
37,SenWarren,2023-09-13 18:39:41+00:00,"RT @“I’ll be blunt: The actions of the senator from Alabama have become a national security nightmare.”

— Sen. Elizabeth Warren (D-MA) says NATO leaders have expressed concerns about Sen. Tommy Tuberville’s (R-AL) blockade on military promotions. https://t.co/ibNZfJfmI9"
38,therecount,2023-09-12 17:06:31+00:00,"“I’ll be blunt: The actions of the senator from Alabama have become a national security nightmare.”

— Sen. Elizabeth Warren (D-MA) says NATO leaders have expressed concerns about Sen. Tommy Tuberville’s (R-AL) blockade on military promotions. https://t.co/ibNZfJfmI9"
39,SenWarren,2023-09-13 00:27:47+00:00,Gun violence is the leading cause of death for kids in America. President Biden signed into law gun safety legislation for the first time in 30 years—and Democrats in Congress have his back to do more. @POTUS should use every executive tool in this effort. https://t.co/cjZLJ5VOl9
40,SenWarren,2023-09-12 21:56:44+00:00,"Donald Trump’s plan to give billionaire corporations another giant tax cut is a slap in the face to working people. Corporate tax giveaways reward the rich at the expense of everyone else, but it’s top of the agenda if Republicans control Congress in 2025. https://t.co/R4cCEHmRND"
41,SenWarren,2023-09-12 20:24:52+00:00,"RT @Myself, @SenWarren, &amp; @SenBlumenthal wrote to the President of @uidaho urging them to reconsider the decision to acquire @UOPX, a predatory for-profit college with a history of preying on veterans, low-income students, and students of color."
42,SenatorDurbin,2023-09-11 23:01:47+00:00,"Myself, @SenWarren, &amp; @SenBlumenthal wrote to the President of @uidaho urging them to reconsider the decision to acquire @UOPX, a predatory for-profit college with a history of preying on veterans, low-income students, and students of color."
43,SenWarren,2023-09-12 19:21:09+00:00,Google is on trial today in the biggest antitrust case in a generation. The company blocked the public from listening to most of the trial. But it's important to watch closely: this trial will shape the future of technology and Big Tech’s dominance. https://t.co/lqo8VneHgb
44,SenWarren,2023-09-12 00:12:56+00:00,"It's time for Congress to pass big structural reforms and long-term funding to fix our broken child care system. This will ensure families can find quality, affordable child care and that child care workers are paid wages they deserve. Let's get this done."
45,SenWarren,2023-09-11 17:59:45+00:00,This is an important step from @FTC. @RepJayapal and I have urged the @US_FDA to take action against Big Pharma’s abuses of the patent system. It’s time to clean up the Orange Book and clear the way for more affordable generic drugs.
46,linakhanFTC,2023-09-07 23:37:06+00:00,"1. At @FTC's open commission meeting next Thursday (9/14), we will consider a policy statement concerning the improper listing of patents in the Food and Drug Administration’s publication of the “Orange Book.” 

https://t.co/LOLsVbx2k2"
47,SenWarren,2023-09-10 21:14:44+00:00,"The Food Bank of Western Massachusetts delivers vital services for people in need, and I’m grateful for the work @FoodBankWMA does every day.

@SenMarkey and I supported this necessary expansion with the help of federal funds. https://t.co/24HJi0l8km"
48,SenWarren,2023-09-09 18:23:57+00:00,"RT @For six months, Senator Tuberville has been blocking the promotion of every general and flag officer in the U.S. military.

301 military positions and counting.

He’s damaging our national security and punishing military families. It can't go on.
https://t.co/TdBtXXavjb"
49,SenMarkKelly,2023-09-08 16:08:23+00:00,"For six months, Senator Tuberville has been blocking the promotion of every general and flag officer in the U.S. military.

301 military positions and counting.

He’s damaging our national security and punishing military families. It can't go on.
https://t.co/TdBtXXavjb"
50,SenWarren,2023-09-09 16:26:56+00:00,"Wall Street banks, MAGA extremists and payday lenders are trying to destroy the @CFPB — the consumer agency ending junk fees.

This SCOTUS case is extreme and could cause chaos. Anything less than outright rejection will empower an army of D.C. lobbyists. https://t.co/YFsPTIH6Yf"
