username,orario,text,Unnamed: 0
pattyrodrig696,2023-09-28 19:36:05+00:00,"#TrumpFraud
#TrumpGOPBrokenPromises
#GOPTraitorsToAmerica

#VoteBlueToProtectAmerica
#Biden2024",
TsicOfIgnorance,2023-09-28 19:33:45+00:00,@RepNancyMace #GOPShutdown McCarthy and Biden made a deal! McCarthy can't get his clown car to honor it! Don't even try to both sides this! #BidenHarris2024 #Biden2024,
dpowersgomez,2023-09-28 19:30:34+00:00,#Biden2024 #infrastructure,
ReBuildUSANow,2023-09-28 02:41:23+00:00,"Let’s just cut to the chase…no more broken promises 
#infrastructure #buildingtrades 🇺🇸 cc:@NABTU https://t.co/TqpMzTjuVL",
RNjudyFlorida,2023-09-28 19:54:47+00:00,#Biden2024 https://t.co/eQVzHHehBI,
mnelson64,2023-09-28 19:29:47+00:00,"@RepMTG Donald Trump weighs in on the Biden Impeachment Inquiry. 
#BidenHarris2024 
#Biden2024 

#MarjorieTraitorGreene https://t.co/NT14pYq5n4",
pattyrodrig696,2023-09-28 19:16:22+00:00,"Thank you @AOC 

#VoteBlueToStopTheStupid 
#VoteBlue2024ProtectDemocracy 
#Biden2024",
TheRickyDavila,2023-09-28 19:03:53+00:00,Congresswoman @AOC destroys the sham republican impeachment clown show with one simple question. She’s so good at her job.,
stephyandjj,2023-09-28 19:11:26+00:00,"Everthing he said!!! 
#Biden2024
#BidenHarris2024 
#StillRidinwithBiden",
DagenForGA,2023-09-28 19:03:46+00:00,"@SpeakerMcCarthy Why did @GOP vote against more funding for the border and law enforcement?
Why are you about to make border agents work without pay?
Republicans continue to refuse to work with @TheDemocrats on immigration reform so that makes it a #RepublicanBorderCrisis.

#VoteBlue #Biden2024",
DagenForGA,2023-09-28 19:01:37+00:00,"@thehill @GovAbbott should be arrested along with @GovRonDeSantis for human trafficking- using people for political games.

#VoteBlue @TheDemocrats @DemGovs @SenateDems @HouseDemocrats @texasdemocrats @FlaDems @POTUS #Biden2024",
DagenForGA,2023-09-28 18:59:59+00:00,"@votetimscott You’re right- time to get rid of @SpeakerMcCarthy .

Americans will be better off with #SpeakerJeffries.

#VoteBlue @TheDemocrats @RepJeffries @HouseDemocrats @SenateDems @SenSchumer @POTUS #Biden2024 @DemGovs",
MaxGoldmanMN,2023-09-28 18:59:25+00:00,"@JamesComer is failure. 
#Biden2024 https://t.co/q5FIetBhLy",
NealTasch,2023-09-28 18:58:31+00:00,@JonLemire #Biden2024,
DagenForGA,2023-09-28 18:57:08+00:00,"Cc: @GOP @SpeakerMcCarthy @LeaderMcConnell 

#RepublicanShutdown 
#GOPShutdown 
#RepublicansAreTheProblem 

#VoteBlueToSaveDemocracy @TheDemocrats #Biden2024",
jeffcain22,2023-09-28 18:55:23+00:00,#Biden2024 ! #TikTok https://t.co/SsuJ4cXM0v,
BreezyG211,2023-09-28 18:52:11+00:00,"@funder Stuxnet reportedly ruined almost one-fifth of Iran's nuclear centrifuges. Targeting industrial control systems, the worm infected over 200,000 computers. Now we're handing them cash to kill our people! #Biden2024 How low we've gone",
jeffcain22,2023-09-28 18:47:04+00:00,#Biden2024 ! #TikTok https://t.co/Z1yAjo1Usy,
Dcl_60,2023-09-28 18:45:23+00:00,@mmpadellan #Biden2024 🩵 https://t.co/BH2YOY8V1k,
pattyrodrig696,2023-09-28 18:41:52+00:00,"Thank you @taylorswift13 

#VoteBlueToProtectYourRights 
#Biden2024",
JoJoFromJerz,2023-09-28 15:21:57+00:00,"The fact that Republicans are criticizing Taylor Swift simply because she encouraged young people to register to vote really does tell you everything you need to know about them.
https://t.co/33SA4kvuH0",
gate560,2023-09-28 18:41:40+00:00,#Biden2024 #BidenHarris2024,
