,username,orario,text
26,BenBergquam,2023-09-22 17:17:32+00:00,"After being processed at the final illegal migrant camp in Panama, Los Planes de Gualaca, buses load up and head to the border of Costa Rica. What was once a trickle has now become an invasion river with over 3000 people per day from this one camp alone because of Biden and the Democrats border invasion invitation. 

What we’re seeing in Eagle Pass, Texas is just the beginning of what’s coming. This is phase 2, brought to you by the United Nations and the anti-American left. #BidenDidThis #TrumpWasRight 

“Law & Border” Real America’s Voice News @RealAmVoice 

Sponsored by https://t.co/NL2qnP2yb8 promo code: RAV for free activation

And https://t.co/h8MrDdhfjH for satellite communication when the grid goes down. Be prepared and support companies that support your value

https://t.co/ggWVTdoP3K
https://t.co/EcxbbYGd4G 

@Saorsa1776 @KariLake @ConradsonJordan @Oscarelblue @AgueroForTexas @CabelloAuden @maureen_bannon @gc22gc @RepAndyBiggsAZ @CallMeAntwan @alx @RepPaulina @bennyjohnson @atensnut @BensmanTodd @Michael_Yon @charliekirk11 @JackPosobiec @DonaldJTrumpJr @realLizUSA @sav_says_ @ImMrWillJohnson @gatewaypundit @AP @senafrontpanama"
27,TawniVixen4,2023-09-22 18:31:52+00:00,They have no intention on  listening to her:   @JoeBiden  @VP @WhiteHouse @POTUS @RonDeSantis @KamalaHarris @votetimscott @GovRonDeSantis  @RobertKennedyJr @ChrisChristie #independents #Republicans #Democrats  #women @ProjectLincoln @thedemocrats @RNCResearch
28,simonateba,2023-09-21 16:31:52+00:00,"JUST IN: New York Democrat Gov. Kathy Hochul to migrants: ""If you're going to leave your country, go somewhere else. We don't have capacity"" in New York. WATCH  

https://t.co/p27Sy2SkNY"
29,TawniVixen4,2023-09-22 18:30:36+00:00,Democrat Dallas mayor switches to Republican:   @JoeBiden  @VP @WhiteHouse @POTUS @RonDeSantis @KamalaHarris @votetimscott @GovRonDeSantis  @RobertKennedyJr @ChrisChristie #independents #Republicans #Democrats  #women @ProjectLincoln @thedemocrats @RNCResearch
30,TawniVixen4,2023-09-22 18:28:26+00:00,"Democrat Dallas Mayor Eric Johnson switches to Republican Party
https://t.co/XmyYC9ppbv"
31,HatercoinMoon,2023-09-22 18:29:40+00:00,"Joe Biden is the oldest ever US #president and has battled #COVID19, the #UkraineRussiaWar️, &amp; rampant #inflation during his tenure.  So is @JoeBiden?:

#democrats #republicans @realDonaldTrump $HATER #hatercoin #memecoin #crypto"
32,karthikanant,2023-09-22 18:29:06+00:00,"😀

Every politician, irrespective of #Democrats  or #Republicans, is rotten to the core. Its a pity that these are the ones that decide everything for the country. https://t.co/qibS7PHikL"
33,ABC,2023-09-22 15:35:59+00:00,"BREAKING: United States Sen. Bob Menendez, D-N.J., has been indicted by a federal grand jury in New York.

The investigation focused on a luxury car, gold bars and an apartment allegedly received by Menendez and his wife.

The latest: https://t.co/l5ZYqS626a https://t.co/R7eW8US9r1"
34,katidid7,2023-09-22 18:28:33+00:00,2 #children drown this week #BidenBorderCrisis and  #MSM is silent @MSNBC @CNN @NBC #WaPo @nytimes used to get outraged if a child died crossing...oh yeah that's because they could blame #Trump ...#Hundreds have died under #BidenAdministration  85K kids missing. #Democrats
35,JDog969,2023-09-22 18:28:02+00:00,"#democrats #republicans
Ever since they started the War to Keep their Slaves, democrats have been responsible for every major war our country has been involved in."
36,PatD_2020,2023-09-22 18:27:49+00:00,"Apparently, @TheJusticeDept only indicts #Democrats  . They finally indicted #Trump because the 1/6 committee shamed them into it. Note how the #Menendez indictment got announced after #Garland got crucified by #Republicans this week. #DOJ always caves to the #GOP . #TheReidOut"
37,speakrighteous,2023-09-22 15:32:10+00:00,@NikkiFried @smartdissent When will this white privileged bigoted racist criminal be charged for violating International immigration laws Federal civil rights &amp; voting rights laws Florida State voting laws. I have been asking these questions for months. DeStains has bought great harm to POC.
38,silntobsrvr1933,2023-09-22 18:27:37+00:00,If only #students #school knew #democrats is the reason their lives is stolen from them spending their youth in school away from their parents. #stopthesteal #freedom #SchoolChoice #redwave2024
