,username,orario,text
30,BabyTrumpToken,2023-09-27 19:14:16+00:00,"WE WILL MAKE AMERICA GREAT AGAIN!!!

#BABYTRUMP #MAGA #TRUMP #TRUMP2024 https://t.co/ZPH5HLY2n2"
31,po1iticsunusua1,2023-09-27 19:13:30+00:00,"@DC_Draino This is the weirdest thing - it's almost as if they want Trump to go down in American history as the greatest President we've ever had because he doesn't back down.

All the insane propaganda has piled so high it can't be hidden from the average person any longer.

#TRUMP2024"
32,JMacLovesUSA,2023-09-27 19:11:16+00:00,@NBCNews #trump2024
33,mitc23508,2023-09-27 19:11:03+00:00,VOTE THEM ALL OUT!! ENOUGH ALREADY WITH THE UKRAINE SPENDING BS!!! 🖕🏼UKRAINE!! #AMERICAFIRST #FJB #TRUMP2024
34,WayneDupreeShow,2023-09-27 05:00:22+00:00,"🔥 REPORT: 28 United States Republican Senators have voted in favor of additional funding for Ukraine even though we don’t have the money. Here are their names: 
1. John Barrasso (WY) 
2. John Boozman (AR) 
3. Shelly Moore Capito (WV) 
4. Bill Cassidy (LA) 
5. Susan Collins (ME) 
6. John Cornyn (TX) 
7. Tom Cotton (AR) 
8. Kevin Cramer (ND) 
9. Mike Crapo (ID) 
10. Joni Ernst (IA) 
11. Lindsey Graham (SC) 
12. Chuck Grassley (IA) 
13. John Hoeven (ND) 
14. Cindy Hyde-Smith (R) 
15. John Kennedy (LA) 
16. James Lankford (OK) 
17. Mitch McConnell (KY) 
18. Jerry Moran (KS) 
19. Markwayne Mullin (OK) 
20. Lisa Murkowski (AK) 
21. Mitt Romney (UT) 
22. Mike Rounds (SD)
23. Marco Rubio (FL) 
24. Dan Sullivan (AK) 
25. John Thune (SD) 
26. Thom Tillis (NC) 
27. Roger Wicker (MS) 
28. Todd Young (IN)"
35,scsheard,2023-09-27 19:10:59+00:00,"@NBCNews #TRUMP2024
#MAGA"
36,conservativebuy,2023-09-27 19:10:29+00:00,Trump 2024 Rainbow Tie Dye Keep America Great Fabric #conservative #trump2024 https://t.co/sbx78hIdB4 https://t.co/QqMxSIaRHV
37,conservativebuy,2023-09-27 19:10:26+00:00,Trump 2024 Save America Graphic Car Flag #conservative #trump2024 https://t.co/CfnpjrlSqV https://t.co/6eKll9Hkhh
38,conservativebuy,2023-09-27 19:10:24+00:00,All I Want for Christmas is Trump 2024 Fabric #conservative #trump2024 https://t.co/J7brH6x3Y0 https://t.co/VRh6lLBk4g
39,conservativebuy,2023-09-27 19:10:22+00:00,Save America Trump 2024 President Donald J. Trump Wrapping Paper #conservative #trump2024 https://t.co/51XeGn3QBA https://t.co/yocHlBnmYU
40,conservativebuy,2023-09-27 19:10:20+00:00,Save America Trump 2024 President Donald J. Trump Golf Towel #conservative #trump2024 https://t.co/j5DkkztYZS https://t.co/YaaWNTyOv6
41,conservativebuy,2023-09-27 19:10:17+00:00,Trump 2024 Save America Graphic Car Magnet #conservative #trump2024 https://t.co/Ml2yrOf2VW https://t.co/Rbl2j8vR7M
