username,orario,text
MollyJongFast,2023-10-20 04:06:39+00:00,"RT @The speakerless moment has raised some heady questions. 

Like: How can the United States be a levelheaded leader on the world stage if one chamber of Congress has lost its head? 

And: Should McCarthy still have the key to the speaker’s private bathroom?

https://t.co/5D3MkG2Sr3"
bterris,2023-10-20 03:17:43+00:00,"The speakerless moment has raised some heady questions. 

Like: How can the United States be a levelheaded leader on the world stage if one chamber of Congress has lost its head? 

And: Should McCarthy still have the key to the speaker’s private bathroom?

https://t.co/5D3MkG2Sr3"
MollyJongFast,2023-10-20 03:59:03+00:00,It’s not funny but it sort of is.
JudiciaryGOP,2023-10-20 03:33:19+00:00,🚨 JIM JORDAN PRESS CONFERENCE TOMORROW. https://t.co/5pwrMdt4kT
MollyJongFast,2023-10-20 03:40:42+00:00,You don’t sayyyyyy https://t.co/JwhvOlt4QT
MollyJongFast,2023-10-20 03:41:24+00:00,"Absolutely true 

https://t.co/XetGxR69ky https://t.co/7ohHJivhpt"
MollyJongFast,2023-10-20 03:40:42+00:00,You don’t sayyyyyy https://t.co/JwhvOlt4QT
MollyJongFast,2023-10-20 03:06:04+00:00,"🍿 🍿🍿 

https://t.co/DoOWNI2eob https://t.co/5QNhnxW0zl"
MollyJongFast,2023-10-20 02:48:58+00:00,Oh well
jamiedupree,2023-10-19 20:49:08+00:00,There is no need to sugarcoat the current situation here at the U.S. Capitol.  The Republican Party is at a point where the House GOP majority is unable to govern.
MollyJongFast,2023-10-20 02:30:26+00:00,I thought that was a pretty good speech
MollyJongFast,2023-10-20 02:29:22+00:00,RT @atrupar: wow -- even Fox News was impressed by Biden's speech https://t.co/kNLtNkpnIn
atrupar,2023-10-20 02:23:30+00:00,wow -- even Fox News was impressed by Biden's speech https://t.co/kNLtNkpnIn
MollyJongFast,2023-10-20 02:20:52+00:00,"RT @Biden: I know many of you in the Muslim American community, the Arab American community, the Palestinian American community, and so many others, are outraged, saying to yourself, here we go again… https://t.co/HIrwUMj3LH"
Acyn,2023-10-20 02:15:18+00:00,"Biden: I know many of you in the Muslim American community, the Arab American community, the Palestinian American community, and so many others, are outraged, saying to yourself, here we go again… https://t.co/HIrwUMj3LH"
MollyJongFast,2023-10-20 02:13:51+00:00,Real congresspeople of the longworth building.
RepThomasMassie,2023-10-20 01:41:32+00:00,"🚨 Jim Jordan is taking the fight back to the House floor tomorrow.

📺 This will be a televised vote at 10:00 a.m.

 Jim Jordan for Speaker!"
MollyJongFast,2023-10-20 02:02:53+00:00,RT @I asked McCarthy if he could put Humpty Dumpty back together again and be speaker in a week given he’s still the Republican with the most speaker votes. He said that time has “probably” passed. Not Shermanesque. https://t.co/3v2e7UpAZ7
StevenTDennis,2023-10-20 01:30:08+00:00,I asked McCarthy if he could put Humpty Dumpty back together again and be speaker in a week given he’s still the Republican with the most speaker votes. He said that time has “probably” passed. Not Shermanesque. https://t.co/3v2e7UpAZ7
MollyJongFast,2023-10-20 02:02:35+00:00,RT @bresreports: One of Jordan’s closest supporters
bresreports,2023-10-20 01:29:38+00:00,One of Jordan’s closest supporters
WarrenDavidson,2023-10-20 01:23:09+00:00,We’ve heard from our colleagues and the American people. Additional votes are expected through the weekend.
MollyJongFast,2023-10-20 01:32:57+00:00,This is fun https://t.co/RdMoImaFnM
MollyJongFast,2023-10-20 01:08:44+00:00,RT @metzgov: does anyone know when the next vote is https://t.co/geXBXzgUse
metzgov,2023-10-20 01:06:52+00:00,does anyone know when the next vote is https://t.co/geXBXzgUse
MollyJongFast,2023-10-20 01:08:23+00:00,"RT @Three speakers at once, yet House Republicans lack one with real power. @pkcapitol on how McCarthy, Jordan and McHenry all hold part of the same title, demonstrating how dysfunctional the House GOP has become. https://t.co/mAr6E6tIf6"
DanEggenWPost,2023-10-20 00:43:35+00:00,"Three speakers at once, yet House Republicans lack one with real power. @pkcapitol on how McCarthy, Jordan and McHenry all hold part of the same title, demonstrating how dysfunctional the House GOP has become. https://t.co/mAr6E6tIf6"
MollyJongFast,2023-10-20 01:05:13+00:00,RT @stephen_neukam: 🚨🚨 Speaker vote at 10 a.m. tomorrow
stephen_neukam,2023-10-20 00:57:22+00:00,🚨🚨 Speaker vote at 10 a.m. tomorrow
MollyJongFast,2023-10-20 00:57:54+00:00,"RT @ArthurDelaneyHP: Moderate Rep. Dan Newhouse (R-Wash.) walks toward GOP meeting room. 

@mkraju: “Mr Newhouse…”

Newhouse: [pained sigh]"
ArthurDelaneyHP,2023-10-19 19:12:54+00:00,"Moderate Rep. Dan Newhouse (R-Wash.) walks toward GOP meeting room. 

@mkraju: “Mr Newhouse…”

Newhouse: [pained sigh]"
MollyJongFast,2023-10-20 00:53:13+00:00,"RT @The leadership is pushing Jordan for an answer as to whether he wants a vote on his speaker bid tonight. He has not given them an answer, multiple sources told me and @bresreports"
JakeSherman,2023-10-20 00:43:22+00:00,"The leadership is pushing Jordan for an answer as to whether he wants a vote on his speaker bid tonight. He has not given them an answer, multiple sources told me and @bresreports"
JakeSherman,2023-10-20 00:18:52+00:00,LATEST FROM THE HOUSE -- HOUSE REPUBLICANS are still waiting to hear from Jim Jordan as to whether he wants a floor vote tonight.
MollyJongFast,2023-10-20 00:45:20+00:00,So stupid
juliegraceb,2023-10-20 00:19:02+00:00,A source close to Rep. Ken Buck tells me “The landlord for one of his offices is terminating the lease presumably because of his vote against Jordan.”
MollyJongFast,2023-10-20 00:45:07+00:00,RT @Per @Reuters this is the note Jim Jordan was holding as he left his meeting with the GOP members who aren’t backing him. One of the notes reads “what is the real reason” https://t.co/quB8oBNngk
AnnieGrayerCNN,2023-10-19 23:39:34+00:00,Per @Reuters this is the note Jim Jordan was holding as he left his meeting with the GOP members who aren’t backing him. One of the notes reads “what is the real reason” https://t.co/quB8oBNngk
MollyJongFast,2023-10-20 00:10:46+00:00,RT @RepMoskowitz: Somebody get Jim Jordan an aspirin https://t.co/21tgufIPle
