username,date,text,cleaned_text,lemmantized_text,stemmed_text
CollinRugg,2023-09-08 15:33:07+00:00,"NEW: Dick Cheney says Donald Trump is the greatest threat to our republic in our nation’s 246 year history. “In our nation's 246 year history, there has never been an individual who is a greater threat to our republic than Donald Trump” Fact check: Trump is the greatest threat to the uniparty’s grip on power, hence why they work so hard to destroy him. “He tried to steal the last election using lies and violence to keep himself in power after the voters had rejected him.” “He was a coward, A real man wouldn't lie to his supporters. He lost his election and he lost big. I know it. He knows it. And deep down, I think most Republicans know it.”",dick cheney says donald trump greatest threat republic nations year history nations year history never individual greater threat republic donald trump fact check trump greatest threat unipartys grip power hence work hard destroy tried steal last election using lies violence keep power voters rejected coward real man would lie supporters lost election lost big know knows deep think republicans know,dick cheney say donald trump greatest threat republic nation year history nation year history never individual greater threat republic donald trump fact check trump greatest threat unipartys grip power hence work hard destroy tried steal last election using lie violence keep power voter rejected coward real man would lie supporter lost election lost big know know deep think republican know,dick cheney say donald trump greatest threat republ nation year histori nation year histori never individu greater threat republ donald trump fact check trump greatest threat uniparti grip power henc work hard destroy tri steal last elect use lie violenc keep power voter reject coward real man would lie support lost elect lost big know know deep think republican know
CollinRugg,2023-09-08 02:54:50+00:00,"REPORT: The Biden administration is considering, not securing the southern border, but forcing Texas to keep migrants in the state as the crisis spirals out of control in so-called “sanctuary cities.” Clown show 🤡 The news comes as Democrat leaders are losing their minds over the surge of migrants in their cities. ""Let me tell you something, New Yorkers. Never in my life have I had a problem that I did not see an ending to. I don't see an ending to this. I don't see an ending to this. This issue will destroy New York City. Destroy New York City,"" NYC Mayor Eric Adams said. Video: @BillMelugin_",biden administration considering securing southern border forcing texas keep migrants state crisis spirals control socalled sanctuary cities clown show news comes democrat leaders losing minds surge migrants cities let tell something yorkers never life problem see ending see ending see ending issue destroy york city destroy york city nyc mayor eric adams said video,biden administration considering securing southern border forcing texas keep migrant state crisis spiral control socalled sanctuary city clown show news come democrat leader losing mind surge migrant city let tell something yorkers never life problem see ending see ending see ending issue destroy york city destroy york city nyc mayor eric adam said video,biden administr consid secur southern border forc texa keep migrant state crisi spiral control socal sanctuari citi clown show news come democrat leader lose mind surg migrant citi let tell someth yorker never life problem see end see end see end issu destroy york citi destroy york citi nyc mayor eric adam said video
CollinRugg,2023-09-07 21:00:02+00:00,"BREAKING: Hollywood celebrity Danny Masterson has been sentenced to 30 years to life in prison for r*ping two woman at his home in Hollywood Hills. Hollywood: Scum of the Earth. Masterson, who starred in ""That '70s Show"" and is a member of the Church of Scientology, allegedly drugged and r*ped the two women between 2001 and 2003. The first woman was assaulted by Masterson in 2001 in her sleep. The second woman was assaulted by Masterson in 2003 after he shoved a pillow in her face.",hollywood celebrity danny masterson sentenced years life prison rping two woman home hollywood hills hollywood scum earth masterson starred show member church scientology allegedly drugged rped two women first woman assaulted masterson sleep second woman assaulted masterson shoved pillow face,hollywood celebrity danny masterson sentenced year life prison rping two woman home hollywood hill hollywood scum earth masterson starred show member church scientology allegedly drugged rped two woman first woman assaulted masterson sleep second woman assaulted masterson shoved pillow face,hollywood celebr danni masterson sentenc year life prison rping two woman home hollywood hill hollywood scum earth masterson star show member church scientolog allegedli drug rped two women first woman assault masterson sleep second woman assault masterson shove pillow face
CollinRugg,2023-09-07 18:34:29+00:00,"JUST IN: Border Patrol agent explains the fraud going on at the southern border with fake asylum families, admits the border policy under Trump was much better. Why isn’t AOC at the border right now crying about this? Under Trump, the agent estimated that they were catching up to 50% more asylum fraudsters. “They say asylum seekers, none of these people qualify. None. They just use the system and it's so backlogged.” “You know what they were doing [DNA testing] when we were under the Trump and we did it toward the end and a lot of them, we were catching, I want to say in the 40 to 50%.” “They were not families.” Video: @BensmanTodd",border patrol agent explains fraud going southern border fake asylum families admits border policy trump much better aoc border right crying trump agent estimated catching asylum fraudsters say asylum seekers none people qualify none use system backlogged know dna testing trump toward end lot catching want say families video,border patrol agent explains fraud going southern border fake asylum family admits border policy trump much better aoc border right cry trump agent estimated catching asylum fraudsters say asylum seeker none people qualify none use system backlogged know dna testing trump toward end lot catching want say family video,border patrol agent explain fraud go southern border fake asylum famili admit border polici trump much better aoc border right cri trump agent estim catch asylum fraudster say asylum seeker none peopl qualifi none use system backlog know dna test trump toward end lot catch want say famili video
CollinRugg,2023-09-07 17:27:04+00:00,"NEW: NYC Mayor Adams whines about the migrant crisis in his city, says it’s an issue that can’t be solved Here is 4 min 20 seconds of Dems getting exactly what they voted for. In just 2 years Adams has gone from a virtue signaling Dem to someone who sounds a lot like Trump: “We should protect our immigrants. Period.” “Yes, New York City will remain a sanctuary city under an Adams administration,” he said just 2 years ago. Ouch.",nyc mayor adams whines migrant crisis city says issue cannot solved min seconds dems getting exactly voted years adams gone virtue signaling dem someone sounds lot like trump protect immigrants period yes york city remain sanctuary city adams administration said years ago ouch,nyc mayor adam whine migrant crisis city say issue can not solved min second dems getting exactly voted year adam gone virtue signaling dem someone sound lot like trump protect immigrant period yes york city remain sanctuary city adam administration said year ago ouch,nyc mayor adam whine migrant crisi citi say issu can not solv min second dem get exactli vote year adam gone virtu signal dem someon sound lot like trump protect immigr period ye york citi remain sanctuari citi adam administr said year ago ouch
CollinRugg,2023-09-07 14:57:40+00:00,"NEW: Late last night Liberty Safe made a shocking admission in a statement after receiving massive backlash for giving the FBI codes to J6 protester Nathan Hughes’ safe. RIP Liberty Safe… At the end of their three page statement, Liberty Safe slyly admitted that they legally did not have to give the FBI access to Hughes’ safe but did so anyway. “We have also revised our policies around cooperation with law enforcement.” “Going forward we will require a subpoena that legally compels Liberty Safe to supply access codes but can only do so if these codes still exist in our system.” Too little, too late.",late last night liberty safe made shocking admission statement receiving massive backlash giving fbi codes protester nathan hughes safe rip liberty safe end three page statement liberty safe slyly admitted legally give fbi access hughes safe anyway also revised policies around cooperation law enforcement going forward require subpoena legally compels liberty safe supply access codes codes still exist system little late,late last night liberty safe made shocking admission statement receiving massive backlash giving fbi code protester nathan hughes safe rip liberty safe end three page statement liberty safe slyly admitted legally give fbi access hughes safe anyway also revised policy around cooperation law enforcement going forward require subpoena legally compels liberty safe supply access code code still exist system little late,late last night liberti safe made shock admiss statement receiv massiv backlash give fbi code protest nathan hugh safe rip liberti safe end three page statement liberti safe slyli admit legal give fbi access hugh safe anyway also revis polici around cooper law enforc go forward requir subpoena legal compel liberti safe suppli access code code still exist system littl late
CollinRugg,2023-09-07 04:14:13+00:00,"Watchdog group based in Washington, Citizens for Responsibility & Ethics (CREW) has filed a lawsuit to remove Trump from the ballot in Colorado. Looks like the panic is setting in. Why are they doing this exactly? According to to CREW, they need to remove Trump from the ballot to “protect our democracy.” “By suing today, we’re taking a major step to protect our democracy,” they announced. I can’t think of something less Democratic than removing your opponent from the ballot. Clown world.",watchdog group based washington citizens responsibility ethics crew filed lawsuit remove trump ballot colorado looks like panic setting exactly according crew need remove trump ballot protect democracy suing today taking major step protect democracy announced cannot think something less democratic removing opponent ballot clown world,watchdog group based washington citizen responsibility ethic crew filed lawsuit remove trump ballot colorado look like panic setting exactly according crew need remove trump ballot protect democracy suing today taking major step protect democracy announced can not think something le democratic removing opponent ballot clown world,watchdog group base washington citizen respons ethic crew file lawsuit remov trump ballot colorado look like panic set exactli accord crew need remov trump ballot protect democraci su today take major step protect democraci announc can not think someth less democrat remov oppon ballot clown world
CollinRugg,2023-09-07 01:45:44+00:00,"Yesterday, President Joe Biden abruptly left the Medal of Honor ceremony before it had ended. Today, Karine Jean Pierre explained that this was all part of the plan because Jill Biden is sick. All you can do is laugh at this point. “He left as planned as it was planned. Uh, he left, uh, when there was a pause in the program in order to minimize, to minimize his close contact with attendees, iuh, who are, uh, who are about to participate in a reception.” Clown show 🤡",yesterday president joe biden abruptly left medal honor ceremony ended today karine jean pierre explained part plan jill biden sick laugh point left planned planned uh left uh pause program order minimize minimize close contact attendees iuh uh participate reception clown show,yesterday president joe biden abruptly left medal honor ceremony ended today karine jean pierre explained part plan jill biden sick laugh point left planned planned uh left uh pause program order minimize minimize close contact attendee iuh uh participate reception clown show,yesterday presid joe biden abruptli left medal honor ceremoni end today karin jean pierr explain part plan jill biden sick laugh point left plan plan uh left uh paus program order minim minim close contact attende iuh uh particip recept clown show
CollinRugg,2023-09-07 00:22:04+00:00,JUST IN: Tucker Carlson asks Larry Sinclair if former President Barack Obama “left a bad taste” in his mouth after Sinclair explained how he allegedly performed oral intercourse with Obama in 1999. The moment came after Sinclair described how Obama allegedly showed up at his hotel after the pair had intercourse and did drugs the night before in a limo. Tucker: “So you were left with a bad taste in your mouth?” Sinclair: “Yes.”,tucker carlson asks larry sinclair former president barack obama left bad taste mouth sinclair explained allegedly performed oral intercourse obama moment came sinclair described obama allegedly showed hotel pair intercourse drugs night limo tucker left bad taste mouth sinclair yes,tucker carlson asks larry sinclair former president barack obama left bad taste mouth sinclair explained allegedly performed oral intercourse obama moment came sinclair described obama allegedly showed hotel pair intercourse drug night limo tucker left bad taste mouth sinclair yes,tucker carlson ask larri sinclair former presid barack obama left bad tast mouth sinclair explain allegedli perform oral intercours obama moment came sinclair describ obama allegedli show hotel pair intercours drug night limo tucker left bad tast mouth sinclair ye
CollinRugg,2023-09-06 22:44:55+00:00,"BREAKING: Hunter Biden is expected to be indicted for a federal gun charge after his sweetheart plea deal with the Biden Department of 'Justice' fell apart last month. Thank you, whistleblowers. Special Counsel David Weiss told U.S. District Judge Maryellen Noreika that an indictment would be made later in the month. ""Noreika set Wednesday as a deadline to hear from both sides about how to move forward on the diversion agreement that would have allowed Hunter Biden to avoid jail time for a felony charge of lying on a federal form when purchasing a firearm in 2018,"" Fox News reported.",hunter biden expected indicted federal gun charge sweetheart plea deal biden department justice fell apart last month thank whistleblowers special counsel david weiss told yous district judge maryellen noreika indictment would made later month noreika set wednesday deadline hear sides move forward diversion agreement would allowed hunter biden avoid jail time felony charge lying federal form purchasing firearm fox news reported,hunter biden expected indicted federal gun charge sweetheart plea deal biden department justice fell apart last month thank whistleblower special counsel david wei told yous district judge maryellen noreika indictment would made later month noreika set wednesday deadline hear side move forward diversion agreement would allowed hunter biden avoid jail time felony charge lying federal form purchasing firearm fox news reported,hunter biden expect indict feder gun charg sweetheart plea deal biden depart justic fell apart last month thank whistleblow special counsel david weiss told you district judg maryellen noreika indict would made later month noreika set wednesday deadlin hear side move forward divers agreement would allow hunter biden avoid jail time feloni charg lie feder form purchas firearm fox news report
